feature,importance
Unnamed: 0,0.3670651539278643
year,0.1237775379018695
duration_ms,0.06723329487479895
acousticness,0.0522248428627551
instrumentalness,0.04991187614603178
loudness,0.04975641160036104
danceability,0.038305414790935216
energy,0.03650127866911082
valence,0.035841041568549226
liveness,0.03481673874895229
Valence_Energy_Ratio,0.03221735870586389
Dance_Energy_Interaction,0.03051316826167924
tempo,0.02957575026540323
Tempo_vs_120,0.028535730786526003
key,0.017030661121575596
mode,0.003942885529523302
time_signature,0.0027508542382006346
